"id","core_cur_work_time","ch_tot_work_time","ch_status","ch_mode","progr_progress","prog","has_error","timestamp"
"47","148:28:26","332:0:5","Работа","Авто","32","/NC/examples/08_01.nc","0","2023-11-21 22:41:13"
"48","148:28:29","332:0:8","Работа","Авто","47","/NC/examples/08_01.nc","0","2023-11-21 22:41:16"
"49","148:28:31","332:0:10","Работа","Авто","47","/NC/examples/08_01.nc","0","2023-11-21 22:41:19"
"50","148:28:35","332:0:14","Работа","Авто","47","/NC/examples/08_01.nc","0","2023-11-21 22:41:22"
"51","148:28:38","332:0:17","Работа","Авто","47","/NC/examples/08_01.nc","0","2023-11-21 22:41:25"
"52","148:28:41","332:0:20","Работа","Авто","47","/NC/examples/08_01.nc","0","2023-11-21 22:41:28"
"53","148:28:47","332:0:26","Работа","Авто","47","/NC/examples/08_01.nc","0","2023-11-21 22:41:34"
"54","148:28:49","332:0:28","Работа","Авто","47","/NC/examples/08_01.nc","0","2023-11-21 22:41:37"
"55","148:28:52","332:0:31","Работа","Авто","63","/NC/examples/08_01.nc","0","2023-11-21 22:41:40"
"56","148:28:56","332:0:35","Работа","Авто","63","/NC/examples/08_01.nc","0","2023-11-21 22:41:43"
"57","148:28:59","332:0:38","Работа","Авто","63","/NC/examples/08_01.nc","0","2023-11-21 22:41:46"
"58","148:29:1","332:0:40","Работа","Авто","63","/NC/examples/08_01.nc","0","2023-11-21 22:41:49"
"59","148:29:5","332:0:44","Работа","Авто","63","/NC/examples/08_01.nc","0","2023-11-21 22:41:52"
"60","148:29:8","332:0:47","Работа","Авто","63","/NC/examples/08_01.nc","0","2023-11-21 22:41:55"
"61","148:29:10","332:0:49","Работа","Авто","63","/NC/examples/08_01.nc","0","2023-11-21 22:41:58"
"62","148:29:13","332:0:53","Работа","Авто","63","/NC/examples/08_01.nc","0","2023-11-21 22:42:01"
"63","148:29:17","332:0:56","Работа","Авто","63","/NC/examples/08_01.nc","0","2023-11-21 22:42:04"
"64","148:29:19","332:0:58","Работа","Авто","79","/NC/examples/08_01.nc","0","2023-11-21 22:42:07"
